date,district,service_type,day_of_week,is_weekend,month,quarter,festival_period,available_workers,demand,lag_1d_demand,lag_7d_demand,lag_14d_demand,rolling_7d_demand,rolling_30d_demand,service_demand_index
2024-05-21,Chennai,Gardening,1,0,5,2,0,25,6,5,4,12,5.71,6.87,0.591
2024-05-22,Chennai,Gardening,2,0,5,2,0,24,2,6,9,7,6.0,6.7,0.591
2024-05-23,Chennai,Gardening,3,0,5,2,0,23,7,2,6,6,5.0,6.6,0.591
2024-05-24,Chennai,Gardening,4,0,5,2,0,23,7,7,5,6,5.14,6.73,0.591
2024-05-25,Chennai,Gardening,5,1,5,2,0,26,13,7,3,9,5.43,6.77,0.591
2024-05-26,Chennai,Gardening,6,1,5,2,0,27,12,13,8,8,6.86,7.03,0.591
2024-05-27,Chennai,Gardening,0,0,5,2,0,25,10,12,5,5,7.43,7.23,0.591
2024-05-28,Chennai,Gardening,1,0,5,2,0,27,3,10,6,4,8.14,7.4,0.591
2024-05-29,Chennai,Gardening,2,0,5,2,0,26,7,3,2,9,7.71,7.27,0.591
2024-05-30,Chennai,Gardening,3,0,5,2,0,25,5,7,7,6,8.43,7.2,0.591
2024-05-31,Chennai,Gardening,4,0,5,2,0,19,13,5,7,5,8.14,7.23,0.591
2024-06-01,Chennai,Gardening,5,1,6,2,0,20,12,13,13,3,9.0,7.33,0.689
2024-06-02,Chennai,Gardening,6,1,6,2,0,25,13,12,12,8,8.86,7.47,0.689
2024-06-03,Chennai,Gardening,0,0,6,2,0,27,9,13,10,5,9.0,7.63,0.689
2024-06-04,Chennai,Gardening,1,0,6,2,0,23,7,9,3,6,8.86,7.6,0.689
2024-06-05,Chennai,Gardening,2,0,6,2,0,24,8,7,7,2,9.43,7.57,0.689
2024-06-06,Chennai,Gardening,3,0,6,2,0,22,7,8,5,7,9.57,7.57,0.689
2024-06-07,Chennai,Gardening,4,0,6,2,0,22,13,7,13,7,9.86,7.4,0.689
2024-06-08,Chennai,Gardening,5,1,6,2,0,23,8,13,12,13,9.86,7.6,0.689
2024-06-09,Chennai,Gardening,6,1,6,2,0,26,15,8,13,12,9.29,7.67,0.689
2024-06-10,Chennai,Gardening,0,0,6,2,0,21,9,15,9,10,9.57,7.97,0.689
2024-06-11,Chennai,Gardening,1,0,6,2,0,28,2,9,7,3,9.57,7.97,0.689
2024-06-12,Chennai,Gardening,2,0,6,2,0,25,4,2,8,7,8.86,7.77,0.689
2024-06-13,Chennai,Gardening,3,0,6,2,0,24,6,4,7,5,8.29,7.73,0.689
2024-06-14,Chennai,Gardening,4,0,6,2,0,25,10,6,13,13,8.14,7.8,0.689
2024-06-15,Chennai,Gardening,5,1,6,2,0,24,8,10,8,12,7.71,7.83,0.689
2024-06-16,Chennai,Gardening,6,1,6,2,0,21,12,8,15,13,7.71,7.9,0.689
2024-06-17,Chennai,Gardening,0,0,6,2,0,26,10,12,9,9,7.29,8.13,0.689
2024-06-18,Chennai,Gardening,1,0,6,2,0,24,8,10,2,7,7.43,8.37,0.689
2024-06-19,Chennai,Gardening,2,0,6,2,0,23,9,8,4,8,8.29,8.37,0.689
2024-06-20,Chennai,Gardening,3,0,6,2,0,28,8,9,6,7,9.0,8.5,0.689
2024-06-21,Chennai,Gardening,4,0,6,2,0,22,11,8,10,13,9.29,8.57,0.689
2024-06-22,Chennai,Gardening,5,1,6,2,0,24,9,11,8,8,9.43,8.87,0.689
2024-06-23,Chennai,Gardening,6,1,6,2,0,21,7,9,12,15,9.57,8.93,0.689
2024-06-24,Chennai,Gardening,0,0,6,2,0,24,7,7,10,9,8.86,8.93,0.689
2024-06-25,Chennai,Gardening,1,0,6,2,0,25,6,7,8,2,8.43,8.73,0.689
2024-06-26,Chennai,Gardening,2,0,6,2,0,22,10,6,9,4,8.14,8.53,0.689
2024-06-27,Chennai,Gardening,3,0,6,2,0,25,8,10,8,6,8.29,8.53,0.689
2024-06-28,Chennai,Gardening,4,0,6,2,0,25,2,8,11,10,8.29,8.7,0.689
2024-06-29,Chennai,Gardening,5,1,6,2,0,26,10,2,9,8,7.0,8.53,0.689
2024-06-30,Chennai,Gardening,6,1,6,2,0,20,13,10,7,12,7.14,8.7,0.689
2024-07-01,Chennai,Gardening,0,0,7,3,0,23,9,13,7,10,8.0,8.7,0.689
2024-07-02,Chennai,Gardening,1,0,7,3,0,22,11,9,6,8,8.29,8.6,0.689
2024-07-03,Chennai,Gardening,2,0,7,3,0,27,8,11,10,9,9.0,8.53,0.689
2024-07-04,Chennai,Gardening,3,0,7,3,0,19,12,8,8,8,8.71,8.5,0.689
2024-07-05,Chennai,Gardening,4,0,7,3,0,25,7,12,2,11,9.29,8.67,0.689
2024-07-06,Chennai,Gardening,5,1,7,3,0,29,11,7,10,9,10.0,8.63,0.689
2024-07-07,Chennai,Gardening,6,1,7,3,0,20,12,11,13,7,10.14,8.77,0.689
2024-07-08,Chennai,Gardening,0,0,7,3,0,28,8,12,9,7,10.0,8.73,0.689
2024-07-09,Chennai,Gardening,1,0,7,3,0,24,2,8,11,6,9.86,8.73,0.689
2024-07-10,Chennai,Gardening,2,0,7,3,0,23,13,2,8,10,8.57,8.3,0.689
2024-07-11,Chennai,Gardening,3,0,7,3,0,26,15,13,12,8,9.29,8.43,0.689
2024-07-12,Chennai,Gardening,4,0,7,3,0,26,4,15,7,2,9.71,8.87,0.689
2024-07-13,Chennai,Gardening,5,1,7,3,0,23,11,4,11,10,9.29,8.87,0.689
2024-07-14,Chennai,Gardening,6,1,7,3,0,25,3,11,12,13,9.29,9.03,0.689
2024-07-15,Chennai,Gardening,0,0,7,3,0,27,8,3,8,9,8.0,8.8,0.689
2024-07-16,Chennai,Gardening,1,0,7,3,0,22,8,8,2,11,8.0,8.8,0.689
2024-07-17,Chennai,Gardening,2,0,7,3,0,25,13,8,13,8,8.86,8.67,0.689
2024-07-18,Chennai,Gardening,3,0,7,3,0,25,7,13,15,12,8.86,8.77,0.689
2024-07-19,Chennai,Gardening,4,0,7,3,0,25,7,7,4,7,7.71,8.73,0.689
2024-07-20,Chennai,Gardening,5,1,7,3,0,25,12,7,11,11,8.14,8.67,0.689
2024-07-21,Chennai,Gardening,6,1,7,3,0,25,13,12,3,12,8.29,8.8,0.689
2024-07-22,Chennai,Gardening,0,0,7,3,0,27,12,13,8,8,9.71,8.87,0.689
2024-07-23,Chennai,Gardening,1,0,7,3,0,25,8,12,8,2,10.29,8.97,0.689
2024-07-24,Chennai,Gardening,2,0,7,3,0,25,5,8,13,13,10.29,9.0,0.689
2024-07-25,Chennai,Gardening,3,0,7,3,0,24,6,5,7,15,9.14,8.93,0.689
2024-07-26,Chennai,Gardening,4,0,7,3,0,26,9,6,7,4,9.0,8.93,0.689
2024-07-27,Chennai,Gardening,5,1,7,3,0,25,12,9,12,11,9.29,8.9,0.689
2024-07-28,Chennai,Gardening,6,1,7,3,0,26,8,12,13,3,9.29,9.03,0.689
2024-07-29,Chennai,Gardening,0,0,7,3,0,27,8,8,12,8,8.57,9.23,0.689
2024-07-30,Chennai,Gardening,1,0,7,3,0,24,1,8,8,8,8.0,9.17,0.689
2024-07-31,Chennai,Gardening,2,0,7,3,0,22,15,1,5,13,7.0,8.77,0.689
2024-08-01,Chennai,Gardening,3,0,8,3,0,23,7,15,6,7,8.43,8.97,0.697
2024-08-02,Chennai,Gardening,4,0,8,3,0,25,3,7,9,7,8.57,8.83,0.697
2024-08-03,Chennai,Gardening,5,1,8,3,0,25,11,3,12,12,7.71,8.67,0.697
2024-08-04,Chennai,Gardening,6,1,8,3,0,20,9,11,8,13,7.57,8.63,0.697
2024-08-05,Chennai,Gardening,0,0,8,3,0,27,5,9,8,12,7.71,8.7,0.697
2024-08-06,Chennai,Gardening,1,0,8,3,0,23,6,5,1,8,7.29,8.5,0.697
2024-08-07,Chennai,Gardening,2,0,8,3,0,28,8,6,15,5,8.0,8.3,0.697
2024-08-08,Chennai,Gardening,3,0,8,3,0,23,10,8,7,6,7.0,8.3,0.697
2024-08-09,Chennai,Gardening,4,0,8,3,0,28,9,10,3,9,7.43,8.57,0.697
2024-08-10,Chennai,Gardening,5,1,8,3,0,22,10,9,11,12,8.29,8.43,0.697
2024-08-11,Chennai,Gardening,6,1,8,3,0,27,15,10,9,8,8.14,8.27,0.697
2024-08-12,Chennai,Gardening,0,0,8,3,0,25,7,15,5,8,9.0,8.63,0.697
2024-08-13,Chennai,Gardening,1,0,8,3,0,26,12,7,6,1,9.29,8.5,0.697
2024-08-14,Chennai,Gardening,2,0,8,3,0,24,8,12,8,15,10.14,8.8,0.697
2024-08-15,Chennai,Gardening,3,0,8,3,0,25,10,8,10,7,10.14,8.8,0.697
2024-08-16,Chennai,Gardening,4,0,8,3,0,24,3,10,9,3,10.14,8.87,0.697
2024-08-17,Chennai,Gardening,5,1,8,3,0,22,9,3,10,11,9.29,8.53,0.697
2024-08-18,Chennai,Gardening,6,1,8,3,0,26,10,9,15,9,9.14,8.6,0.697
2024-08-19,Chennai,Gardening,0,0,8,3,0,25,10,10,7,5,8.43,8.7,0.697
2024-08-20,Chennai,Gardening,1,0,8,3,0,24,10,10,12,6,8.86,8.63,0.697
2024-08-21,Chennai,Gardening,2,0,8,3,0,24,7,10,8,8,8.57,8.53,0.697
2024-08-22,Chennai,Gardening,3,0,8,3,0,29,7,7,10,10,8.43,8.37,0.697
2024-08-23,Chennai,Gardening,4,0,8,3,0,27,11,7,3,9,8.0,8.33,0.697
2024-08-24,Chennai,Gardening,5,1,8,3,0,25,14,11,9,10,9.14,8.53,0.697
2024-08-25,Chennai,Gardening,6,1,8,3,0,26,10,14,10,15,9.86,8.8,0.697
2024-08-26,Chennai,Gardening,0,0,8,3,0,26,13,10,10,7,9.86,8.83,0.697
2024-08-27,Chennai,Gardening,1,0,8,3,0,21,9,13,10,12,10.29,8.87,0.697
2024-08-28,Chennai,Gardening,2,0,8,3,0,27,9,9,7,8,10.14,8.9,0.697
2024-08-29,Chennai,Gardening,3,0,8,3,0,22,15,9,7,10,10.43,8.93,0.697
2024-08-30,Chennai,Gardening,4,0,8,3,0,24,11,15,11,3,11.57,9.4,0.697
2024-08-31,Chennai,Gardening,5,1,8,3,0,23,11,11,14,9,11.57,9.27,0.697
2024-09-01,Chennai,Gardening,6,1,9,3,0,26,14,11,10,10,11.14,9.4,0.691
2024-09-02,Chennai,Gardening,0,0,9,3,0,24,6,14,13,10,11.71,9.77,0.691
2024-09-03,Chennai,Gardening,1,0,9,3,0,25,8,6,9,10,10.71,9.6,0.691
2024-09-04,Chennai,Gardening,2,0,9,3,0,25,11,8,9,7,10.57,9.57,0.691
2024-09-05,Chennai,Gardening,3,0,9,3,0,22,6,11,15,7,10.86,9.77,0.691
2024-09-06,Chennai,Gardening,4,0,9,3,0,20,8,6,11,11,9.57,9.77,0.691
2024-09-07,Chennai,Gardening,5,1,9,3,0,22,4,8,11,14,9.14,9.77,0.691
2024-09-08,Chennai,Gardening,6,1,9,3,0,23,7,4,14,10,8.14,9.57,0.691
2024-09-09,Chennai,Gardening,0,0,9,3,0,26,12,7,6,13,7.14,9.5,0.691
2024-09-10,Chennai,Gardening,1,0,9,3,0,21,6,12,8,9,8.0,9.57,0.691
2024-09-11,Chennai,Gardening,2,0,9,3,0,22,6,6,11,9,7.71,9.27,0.691
2024-09-12,Chennai,Gardening,3,0,9,3,0,24,7,6,6,15,7.0,9.23,0.691
2024-09-13,Chennai,Gardening,4,0,9,3,0,26,8,7,8,11,7.14,9.07,0.691
2024-09-14,Chennai,Gardening,5,1,9,3,0,27,9,8,4,11,7.14,9.07,0.691
2024-09-15,Chennai,Gardening,6,1,9,3,0,27,14,9,7,14,7.86,9.03,0.691
2024-09-16,Chennai,Gardening,0,0,9,3,0,25,6,14,12,6,8.86,9.4,0.691
2024-09-17,Chennai,Gardening,1,0,9,3,0,20,6,6,6,8,8.0,9.3,0.691
2024-09-18,Chennai,Gardening,2,0,9,3,0,24,7,6,6,11,8.0,9.17,0.691
2024-09-19,Chennai,Gardening,3,0,9,3,0,30,8,7,7,6,8.14,9.07,0.691
2024-09-20,Chennai,Gardening,4,0,9,3,0,23,7,8,8,8,8.29,9.0,0.691
2024-09-21,Chennai,Gardening,5,1,9,3,0,21,7,7,9,4,8.14,9.0,0.691
2024-09-22,Chennai,Gardening,6,1,9,3,0,23,8,7,14,7,7.86,9.0,0.691
2024-09-23,Chennai,Gardening,0,0,9,3,0,27,10,8,6,12,7.0,8.9,0.691
2024-09-24,Chennai,Gardening,1,0,9,3,0,28,9,10,6,6,7.57,8.77,0.691
2024-09-25,Chennai,Gardening,2,0,9,3,0,26,6,9,7,6,8.0,8.73,0.691
2024-09-26,Chennai,Gardening,3,0,9,3,0,24,5,6,8,7,7.86,8.5,0.691
2024-09-27,Chennai,Gardening,4,0,9,3,0,28,11,5,7,8,7.43,8.37,0.691
2024-09-28,Chennai,Gardening,5,1,9,3,0,25,11,11,7,9,8.0,8.43,0.691
2024-09-29,Chennai,Gardening,6,1,9,3,0,24,9,11,8,14,8.57,8.3,0.691
2024-09-30,Chennai,Gardening,0,0,9,3,0,24,8,9,10,6,8.71,8.23,0.691
2024-10-01,Chennai,Gardening,1,0,10,4,0,24,11,8,9,6,8.43,8.13,0.639
2024-10-02,Chennai,Gardening,2,0,10,4,0,27,6,11,6,7,8.71,8.03,0.639
2024-10-03,Chennai,Gardening,3,0,10,4,0,25,5,6,5,8,8.71,8.03,0.639
2024-10-04,Chennai,Gardening,4,0,10,4,0,20,7,5,11,7,8.71,7.93,0.639
2024-10-05,Chennai,Gardening,5,1,10,4,0,24,4,7,11,7,8.14,7.8,0.639
2024-10-06,Chennai,Gardening,6,1,10,4,0,22,3,4,9,8,7.14,7.73,0.639
2024-10-07,Chennai,Gardening,0,0,10,4,0,24,6,3,8,10,6.29,7.57,0.639
2024-10-08,Chennai,Gardening,1,0,10,4,0,23,9,6,11,9,6.0,7.63,0.639
2024-10-09,Chennai,Gardening,2,0,10,4,0,23,13,9,6,6,5.71,7.7,0.639
2024-10-10,Chennai,Gardening,3,0,10,4,0,28,4,13,5,5,6.71,7.73,0.639
2024-10-11,Chennai,Gardening,4,0,10,4,0,28,9,4,7,11,6.57,7.67,0.639
2024-10-12,Chennai,Gardening,5,1,10,4,0,28,6,9,4,11,6.86,7.77,0.639
2024-10-13,Chennai,Gardening,6,1,10,4,0,25,6,6,3,9,7.14,7.73,0.639
2024-10-14,Chennai,Gardening,0,0,10,4,0,22,9,6,6,8,7.57,7.67,0.639
2024-10-15,Chennai,Gardening,1,0,10,4,0,23,8,9,9,11,8.0,7.67,0.639
2024-10-16,Chennai,Gardening,2,0,10,4,0,24,5,8,13,6,7.86,7.47,0.639
2024-10-17,Chennai,Gardening,3,0,10,4,0,23,13,5,4,5,6.71,7.43,0.639
2024-10-18,Chennai,Gardening,4,0,10,4,0,26,6,13,9,7,8.0,7.67,0.639
2024-10-19,Chennai,Gardening,5,1,10,4,0,25,9,6,6,4,7.57,7.63,0.639
2024-10-20,Chennai,Gardening,6,1,10,4,0,22,8,9,6,3,8.0,7.67,0.639
2024-10-21,Chennai,Gardening,0,0,10,4,0,28,7,8,9,6,8.29,7.7,0.639
2024-10-22,Chennai,Gardening,1,0,10,4,0,27,7,7,8,9,8.0,7.7,0.639
2024-10-23,Chennai,Gardening,2,0,10,4,0,25,8,7,5,13,7.86,7.67,0.639
2024-10-24,Chennai,Gardening,3,0,10,4,0,25,8,8,13,4,8.29,7.6,0.639
2024-10-25,Chennai,Gardening,4,0,10,4,0,24,4,8,6,9,7.57,7.57,0.639
2024-10-26,Chennai,Gardening,5,1,10,4,0,27,6,4,9,6,7.29,7.5,0.639
2024-10-27,Chennai,Gardening,6,1,10,4,0,26,6,6,8,6,6.86,7.53,0.639
2024-10-28,Chennai,Gardening,0,0,10,4,0,27,7,6,7,9,6.57,7.37,0.639
2024-10-29,Chennai,Gardening,1,0,10,4,0,26,7,7,7,8,6.57,7.23,0.639
2024-10-30,Chennai,Gardening,2,0,10,4,1,21,3,7,8,5,6.57,7.17,0.639
2024-10-31,Chennai,Gardening,3,0,10,4,1,29,10,3,8,13,5.86,7.0,0.639
2024-11-01,Chennai,Gardening,4,0,11,4,1,27,4,10,4,6,6.14,6.97,0.629
2024-11-02,Chennai,Gardening,5,1,11,4,1,23,10,4,6,9,6.14,6.9,0.629
2024-11-03,Chennai,Gardening,6,1,11,4,0,25,5,10,6,8,6.71,7.07,0.629
2024-11-04,Chennai,Gardening,0,0,11,4,0,20,2,5,7,7,6.57,7.0,0.629
2024-11-05,Chennai,Gardening,1,0,11,4,0,29,4,2,7,7,5.86,6.93,0.629
2024-11-06,Chennai,Gardening,2,0,11,4,0,24,9,4,3,8,5.43,6.97,0.629
2024-11-07,Chennai,Gardening,3,0,11,4,0,25,12,9,10,8,6.29,7.07,0.629
2024-11-08,Chennai,Gardening,4,0,11,4,0,26,9,12,4,4,6.57,7.17,0.629
2024-11-09,Chennai,Gardening,5,1,11,4,0,24,8,9,10,6,7.29,7.03,0.629
2024-11-10,Chennai,Gardening,6,1,11,4,0,29,13,8,5,6,7.0,7.17,0.629
2024-11-11,Chennai,Gardening,0,0,11,4,0,23,14,13,2,7,8.14,7.3,0.629
2024-11-12,Chennai,Gardening,1,0,11,4,0,23,6,14,4,7,9.86,7.57,0.629
2024-11-13,Chennai,Gardening,2,0,11,4,0,27,3,6,9,3,10.14,7.57,0.629
2024-11-14,Chennai,Gardening,3,0,11,4,0,26,5,3,12,10,9.29,7.37,0.629
2024-11-15,Chennai,Gardening,4,0,11,4,0,23,12,5,9,4,8.29,7.27,0.629
2024-11-16,Chennai,Gardening,5,1,11,4,0,21,9,12,8,10,8.71,7.5,0.629
2024-11-17,Chennai,Gardening,6,1,11,4,0,21,15,9,13,5,8.86,7.37,0.629
2024-11-18,Chennai,Gardening,0,0,11,4,0,27,5,15,14,2,9.14,7.67,0.629
2024-11-19,Chennai,Gardening,1,0,11,4,0,24,10,5,6,4,7.86,7.53,0.629
2024-11-20,Chennai,Gardening,2,0,11,4,0,25,9,10,3,9,8.43,7.6,0.629
2024-11-21,Chennai,Gardening,3,0,11,4,0,26,6,9,5,12,9.29,7.67,0.629
2024-11-22,Chennai,Gardening,4,0,11,4,0,29,6,6,12,9,9.43,7.63,0.629
2024-11-23,Chennai,Gardening,5,1,11,4,0,21,6,6,9,8,8.57,7.57,0.629
2024-11-24,Chennai,Gardening,6,1,11,4,0,27,4,6,15,13,8.14,7.5,0.629
2024-11-25,Chennai,Gardening,0,0,11,4,0,29,5,4,5,14,6.57,7.5,0.629
2024-11-26,Chennai,Gardening,1,0,11,4,0,20,7,5,10,6,6.57,7.47,0.629
2024-11-27,Chennai,Gardening,2,0,11,4,0,24,9,7,9,3,6.14,7.5,0.629
2024-11-28,Chennai,Gardening,3,0,11,4,0,24,12,9,6,5,6.14,7.57,0.629
2024-11-29,Chennai,Gardening,4,0,11,4,0,22,7,12,6,12,7.0,7.73,0.629
2024-11-30,Chennai,Gardening,5,1,11,4,0,27,7,7,6,9,7.14,7.87,0.629
2024-12-01,Chennai,Gardening,6,1,12,4,0,25,8,7,4,15,7.29,7.77,0.631
2024-12-02,Chennai,Gardening,0,0,12,4,0,26,10,8,5,5,7.86,7.9,0.631
2024-12-03,Chennai,Gardening,1,0,12,4,0,23,7,10,7,10,8.57,7.9,0.631
2024-12-04,Chennai,Gardening,2,0,12,4,0,27,7,7,9,9,8.57,7.97,0.631
2024-12-05,Chennai,Gardening,3,0,12,4,0,24,9,7,12,6,8.29,8.13,0.631
2024-12-06,Chennai,Gardening,4,0,12,4,0,20,9,9,7,6,7.86,8.3,0.631
2024-12-07,Chennai,Gardening,5,1,12,4,0,23,12,9,7,6,8.14,8.3,0.631
2024-12-08,Chennai,Gardening,6,1,12,4,0,22,7,12,8,4,8.86,8.3,0.631
2024-12-09,Chennai,Gardening,0,0,12,4,0,25,6,7,10,5,8.71,8.23,0.631
2024-12-10,Chennai,Gardening,1,0,12,4,0,23,9,6,7,7,8.14,8.17,0.631
2024-12-11,Chennai,Gardening,2,0,12,4,0,26,6,9,7,9,8.43,8.03,0.631
2024-12-12,Chennai,Gardening,3,0,12,4,0,22,5,6,9,12,8.29,7.77,0.631
2024-12-13,Chennai,Gardening,4,0,12,4,0,25,13,5,9,7,7.71,7.73,0.631
2024-12-14,Chennai,Gardening,5,1,12,4,0,24,13,13,12,7,8.29,8.07,0.631
2024-12-15,Chennai,Gardening,6,1,12,4,0,23,10,13,7,8,8.43,8.33,0.631
2024-12-16,Chennai,Gardening,0,0,12,4,0,25,4,10,6,10,8.86,8.27,0.631
2024-12-17,Chennai,Gardening,1,0,12,4,0,23,8,4,9,7,8.57,8.1,0.631
2024-12-18,Chennai,Gardening,2,0,12,4,0,22,12,8,6,7,8.43,7.87,0.631
2024-12-19,Chennai,Gardening,3,0,12,4,0,30,7,12,5,9,9.29,8.1,0.631
2024-12-20,Chennai,Gardening,4,0,12,4,0,26,8,7,13,9,9.57,8.0,0.631
2024-12-21,Chennai,Gardening,5,1,12,4,0,25,11,8,13,12,8.86,7.97,0.631
2024-12-22,Chennai,Gardening,6,1,12,4,0,22,11,11,10,7,8.57,8.13,0.631
2024-12-23,Chennai,Gardening,0,0,12,4,0,28,7,11,4,6,8.71,8.3,0.631
2024-12-24,Chennai,Gardening,1,0,12,4,0,24,6,7,8,9,9.14,8.33,0.631
2024-12-25,Chennai,Gardening,2,0,12,4,0,25,6,6,12,6,8.86,8.4,0.631
2024-12-26,Chennai,Gardening,3,0,12,4,0,25,5,6,7,5,8.0,8.43,0.631
2024-12-27,Chennai,Gardening,4,0,12,4,0,23,7,5,8,13,7.71,8.37,0.631
2024-12-28,Chennai,Gardening,5,1,12,4,0,24,17,7,11,13,7.57,8.3,0.631
2024-12-29,Chennai,Gardening,6,1,12,4,0,24,7,17,11,10,8.43,8.47,0.631
2024-12-30,Chennai,Gardening,0,0,12,4,0,26,4,7,7,4,7.86,8.47,0.631
2024-12-31,Chennai,Gardening,1,0,12,4,0,22,18,4,6,8,7.43,8.37,0.631
2025-01-01,Chennai,Gardening,2,0,1,1,0,26,3,18,6,12,9.14,8.7,0.581
2025-01-02,Chennai,Gardening,3,0,1,1,0,24,13,3,5,7,8.71,8.47,0.581
2025-01-03,Chennai,Gardening,4,0,1,1,0,21,8,13,7,8,9.86,8.67,0.581
2025-01-04,Chennai,Gardening,5,1,1,1,0,23,13,8,17,11,10.0,8.7,0.581
2025-01-05,Chennai,Gardening,6,1,1,1,0,24,17,13,7,11,9.43,8.83,0.581
2025-01-06,Chennai,Gardening,0,0,1,1,0,21,11,17,4,7,10.86,9.1,0.581
2025-01-07,Chennai,Gardening,1,0,1,1,0,26,8,11,18,6,11.86,9.07,0.581
2025-01-08,Chennai,Gardening,2,0,1,1,0,24,7,8,3,6,10.43,9.1,0.581
2025-01-09,Chennai,Gardening,3,0,1,1,0,24,7,7,13,5,11.0,9.13,0.581
2025-01-10,Chennai,Gardening,4,0,1,1,0,28,5,7,8,7,10.14,9.07,0.581
2025-01-11,Chennai,Gardening,5,1,1,1,0,24,10,5,13,17,9.71,9.03,0.581
2025-01-12,Chennai,Gardening,6,1,1,1,0,22,11,10,17,7,9.29,9.2,0.581
2025-01-13,Chennai,Gardening,0,0,1,1,1,24,6,11,11,4,8.43,9.13,0.581
2025-01-14,Chennai,Gardening,1,0,1,1,1,26,8,6,8,18,7.71,8.9,0.581
2025-01-15,Chennai,Gardening,2,0,1,1,1,21,7,8,7,3,7.71,8.83,0.581
2025-01-16,Chennai,Gardening,3,0,1,1,1,24,11,7,7,13,7.71,8.93,0.581
2025-01-17,Chennai,Gardening,4,0,1,1,1,21,15,11,5,8,8.29,9.03,0.581
2025-01-18,Chennai,Gardening,5,1,1,1,0,23,7,15,10,13,9.71,9.13,0.581
2025-01-19,Chennai,Gardening,6,1,1,1,0,26,10,7,11,17,9.29,9.13,0.581
2025-01-20,Chennai,Gardening,0,0,1,1,0,25,8,10,6,11,9.14,9.2,0.581
2025-01-21,Chennai,Gardening,1,0,1,1,0,21,7,8,8,8,9.43,9.1,0.581
2025-01-22,Chennai,Gardening,2,0,1,1,0,23,6,7,7,7,9.29,8.97,0.581
2025-01-23,Chennai,Gardening,3,0,1,1,0,31,11,6,11,7,9.14,8.93,0.581
2025-01-24,Chennai,Gardening,4,0,1,1,0,26,9,11,15,5,9.14,9.1,0.581
2025-01-25,Chennai,Gardening,5,1,1,1,0,22,6,9,7,10,8.29,9.2,0.581
2025-01-26,Chennai,Gardening,6,1,1,1,0,19,5,6,10,11,8.14,9.23,0.581
2025-01-27,Chennai,Gardening,0,0,1,1,0,24,5,5,8,6,7.43,9.17,0.581
2025-01-28,Chennai,Gardening,1,0,1,1,0,26,4,5,7,8,7.0,8.77,0.581
2025-01-29,Chennai,Gardening,2,0,1,1,0,24,6,4,6,7,6.57,8.67,0.581
2025-01-30,Chennai,Gardening,3,0,1,1,0,26,8,6,11,11,6.57,8.73,0.581
2025-01-31,Chennai,Gardening,4,0,1,1,0,22,14,8,9,15,6.14,8.4,0.581
2025-02-01,Chennai,Gardening,5,1,2,1,0,19,6,14,6,7,6.86,8.77,0.57
2025-02-02,Chennai,Gardening,6,1,2,1,0,28,6,6,5,10,6.86,8.53,0.57
2025-02-03,Chennai,Gardening,0,0,2,1,0,26,8,6,5,8,7.0,8.47,0.57
2025-02-04,Chennai,Gardening,1,0,2,1,0,25,6,8,4,7,7.43,8.3,0.57
2025-02-05,Chennai,Gardening,2,0,2,1,0,25,5,6,6,6,7.71,7.93,0.57
2025-02-06,Chennai,Gardening,3,0,2,1,0,27,9,5,8,11,7.57,7.73,0.57
2025-02-07,Chennai,Gardening,4,0,2,1,0,27,13,9,14,9,7.71,7.77,0.57
2025-02-08,Chennai,Gardening,5,1,2,1,0,21,11,13,6,6,7.57,7.97,0.57
2025-02-09,Chennai,Gardening,6,1,2,1,0,22,8,11,6,5,8.29,8.1,0.57
2025-02-10,Chennai,Gardening,0,0,2,1,0,26,7,8,8,5,8.57,8.2,0.57
2025-02-11,Chennai,Gardening,1,0,2,1,0,27,6,7,6,4,8.43,8.1,0.57
2025-02-12,Chennai,Gardening,2,0,2,1,0,25,8,6,5,6,8.43,7.93,0.57
2025-02-13,Chennai,Gardening,3,0,2,1,0,28,5,8,9,8,8.86,8.0,0.57
2025-02-14,Chennai,Gardening,4,0,2,1,0,27,4,5,13,14,8.29,7.9,0.57
2025-02-15,Chennai,Gardening,5,1,2,1,0,22,9,4,11,6,7.0,7.8,0.57
2025-02-16,Chennai,Gardening,6,1,2,1,0,24,9,9,8,6,6.71,7.73,0.57
2025-02-17,Chennai,Gardening,0,0,2,1,0,27,5,9,7,8,6.86,7.53,0.57
2025-02-18,Chennai,Gardening,1,0,2,1,0,25,8,5,6,6,6.57,7.47,0.57
2025-02-19,Chennai,Gardening,2,0,2,1,0,26,13,8,8,5,6.86,7.4,0.57
2025-02-20,Chennai,Gardening,3,0,2,1,0,25,5,13,5,9,7.57,7.57,0.57
2025-02-21,Chennai,Gardening,4,0,2,1,0,26,13,5,4,13,7.57,7.5,0.57
2025-02-22,Chennai,Gardening,5,1,2,1,0,25,9,13,9,11,8.86,7.73,0.57
2025-02-23,Chennai,Gardening,6,1,2,1,0,22,10,9,9,8,8.86,7.67,0.57
2025-02-24,Chennai,Gardening,0,0,2,1,0,25,2,10,5,7,9.0,7.7,0.57
2025-02-25,Chennai,Gardening,1,0,2,1,0,25,6,2,8,6,8.57,7.57,0.57
2025-02-26,Chennai,Gardening,2,0,2,1,0,22,5,6,13,8,8.29,7.6,0.57
2025-02-27,Chennai,Gardening,3,0,2,1,0,25,6,5,5,5,7.14,7.6,0.57
